generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,168,681.7599714037453,1097.3518794864979,892.8502478041368,88.54403840862618
1,180,681.7599714037453,1070.9642029025729,877.5940809654513,97.81002073242539
2,173,681.7599714037453,1070.9642029025729,874.344818414339,106.00937915032873
3,165,681.7599714037453,1077.994953176337,855.9470313039769,112.18815291274794
4,165,681.7599714037453,1077.994953176337,833.2607548710474,117.30365510577839
5,179,681.7599714037453,1075.1094959159539,824.6840669822876,119.97178118987232
6,169,681.7599714037453,1071.7987001954043,827.2069891507956,127.17460166503072
7,173,649.571918645669,1074.5740770806804,815.6990402629698,135.45358748716666
8,166,649.571918645669,1101.5677047364666,803.0393450492443,129.0090949084808
9,177,649.571918645669,1074.5740770806804,808.3920868094248,126.95201555635973
10,183,649.571918645669,1074.5740770806804,805.3560121099094,128.44327577156187
11,180,633.0588731096896,1102.418237848958,809.4294435513299,136.69482056011688
12,170,633.0588731096896,1102.418237848958,819.2144088408204,141.3478500145395
13,172,633.0588731096896,1082.4025524007288,807.0260641499334,140.1457248953987
14,161,618.2191787111,1082.4025524007288,817.675487089333,143.36727864667617
15,174,618.2191787111,1082.4025524007288,804.0042543607374,146.92277506626866
16,160,618.2191787111,1075.8283314123328,803.4153661941916,146.69343482799783
17,172,618.2191787111,1082.4072565943843,823.5407970915799,147.78961811321153
18,180,618.2191787111,1082.4072565943843,817.7073229761397,156.36432209936888
19,173,618.2191787111,1082.4072565943843,804.234204206405,156.68921179763277
20,162,618.2191787111,1096.9898900737746,813.6075165465005,157.4344287334352
21,178,618.2191787111,1082.4072565943843,794.3516774762518,164.66719574329133
22,175,618.2191787111,1087.548096895849,807.1264492656737,168.4056487811816
23,171,618.2191787111,1082.4072565943843,805.8833790330455,162.05927526297003
24,174,597.9079114250407,1177.9185456940925,795.2364583724993,158.52040633104863
25,178,597.9079114250407,1079.0588948784311,789.0557416269626,154.72390482423893
26,165,597.9079114250407,1079.0588948784311,801.4889209589205,155.64738785200436
27,179,597.9079114250407,1100.5328545701316,808.2249702158057,158.06582340252612
28,157,597.9079114250407,1100.5328545701316,813.1068657020807,159.3332208472968
29,172,597.2503893112007,1130.7628605605894,821.2058481755071,167.7960852787754
30,162,597.2503893112007,1110.9892041569112,810.2119934972579,172.3664210177671
31,164,597.2503893112007,1110.9892041569112,802.802142458281,172.66872645680715
32,179,597.2503893112007,1159.141308408195,819.5453694654585,172.29647045405852
33,174,597.2503893112007,1159.141308408195,808.254889978504,176.65977103340168
34,177,597.2503893112007,1132.8876860894843,793.1289840805044,179.05029240975583
35,181,576.9391220251415,1132.8876860894843,816.9098867076044,171.17097969950083
36,183,576.9391220251415,1098.2708891999134,806.1777431788022,166.9535072051411
37,179,576.9391220251415,1098.2708891999134,805.1832988776197,171.6850881369476
38,178,576.9391220251415,1090.8039907689583,787.0195720520285,165.23261939225202
39,166,576.9391220251415,1091.6372444880083,794.6989336185886,164.46767156848222
40,178,576.9391220251415,1091.6372444880083,784.5280096822135,163.30400772029492
41,176,576.9391220251415,1064.4664623187027,786.0819353255085,172.44476860129015
42,173,576.9391220251415,1095.4411945737531,802.6986596429065,166.05874509129927
43,164,571.8689664162098,1143.0949992643466,793.1979570216823,174.9548719914424
44,171,571.8689664162098,1143.0949992643466,786.4500008512956,166.93844875357505
45,173,571.8689664162098,1143.0949992643466,777.4663168825138,174.09401645952997
46,168,571.8689664162098,1143.0949992643466,788.8441685291795,174.05169787071475
47,175,571.8689664162098,1072.8551533941866,765.8742212377484,171.44005910029185
48,167,571.8689664162098,1070.6995464910854,766.1646636019385,172.27297057162278
49,184,571.8689664162098,1104.703132551698,779.6051198462166,166.16318997523996
50,174,571.3816878012523,1077.7936430270092,776.3363666625648,168.8678066920635
51,163,571.3816878012523,1038.4086298085274,774.3316662166918,169.46540553532648
52,183,571.3816878012523,1112.946120617303,778.8837003467436,172.48622021256838
53,170,571.3816878012523,1060.0351699179876,783.8779752311141,174.27351045193566
54,166,571.3816878012523,1052.4286565428488,792.0490522139723,170.54983394677404
55,172,571.3816878012523,1075.6779940242648,796.4064553160716,176.1279994453485
56,181,571.3816878012523,1075.6779940242648,815.9289073837066,181.62198242378705
57,180,571.3816878012523,1075.4476954534437,815.2720910954945,179.9189461368249
58,177,571.3816878012523,1081.1093194589978,811.7228356746401,169.0384276465016
59,173,571.3816878012523,1084.3416766042506,794.9920412315427,186.93826240736496
60,179,571.3816878012523,1084.3416766042506,800.0639940026416,181.63486026448518
61,181,565.0765191029473,1100.298357431617,823.3511833335957,179.97715502161557
62,164,565.0765191029473,1099.6286635703545,795.8976273990321,181.13126307720574
63,173,565.0765191029473,1102.5267001895138,791.7595978224666,177.71769131932317
64,165,565.0765191029473,1125.4727848683826,770.6449171515835,182.49090122197683
65,185,565.0765191029473,1125.4727848683826,783.8186519507782,180.15096196826306
66,169,565.0765191029473,1125.4727848683826,778.6334147332465,178.03230911870486
67,179,565.0765191029473,1128.4772497112144,788.0172292327942,181.36335410986214
68,169,565.0765191029473,1128.4772497112144,790.8552233048853,181.06354162156777
69,164,565.0765191029473,1128.4772497112144,798.4174246930623,176.98203879453789
70,174,565.0765191029473,1128.4772497112144,804.0339009589823,187.04045458969233
71,172,565.0765191029473,1106.9290712556706,791.985341110139,188.8040673206488
72,176,565.0765191029473,1053.4146572266516,796.8281871916585,174.73557490027068
73,174,565.0765191029473,1097.9658533423424,799.2618569854468,176.3204070756214
74,184,565.0765191029473,1097.9658533423424,790.6210093097233,182.05984641483846
75,162,565.0765191029473,1054.0671480529425,778.0103472734849,177.36073145542838
76,166,565.0765191029473,1054.5330688750716,769.9306123480716,173.15571004368903
77,169,565.0765191029473,1097.6828019924492,775.0777768490448,175.9883478716453
78,167,565.0765191029473,1090.2129230008243,763.7086040205623,180.34501146091839
79,165,565.0765191029473,1065.2558821273717,779.7919967251828,175.94211209048336
80,175,565.0765191029473,1162.5273276800326,806.5863921744236,173.36989505838545
81,176,565.0765191029473,1137.07182479994,809.659647971589,175.57658369118218
82,172,565.0765191029473,1103.276335885179,803.0211422488908,176.86412933643862
83,173,565.0765191029473,1065.2631351073164,793.5914525280676,174.66990243510241
84,169,565.0765191029473,1108.549154438435,781.5627337371096,184.74754646116756
85,179,565.0765191029473,1068.0182755163987,792.2098270931882,182.12560890778244
86,165,565.0765191029473,1068.0182755163987,778.0260284595128,180.7990503946377
87,172,565.0765191029473,1035.9899236042647,783.4691976901048,185.1896081782664
88,166,565.0765191029473,1075.9661548740748,772.004664415183,179.01535213848726
89,171,565.0765191029473,1075.9661548740748,770.4419653524917,166.93133761792404
90,179,565.0765191029473,1112.5490144681455,764.1540775197325,170.27166007817607
91,177,565.0765191029473,1062.6494914446737,764.3497439543954,163.9714598407121
92,174,565.0765191029473,1054.4955748846205,777.732880806656,167.0069967835809
93,183,565.0765191029473,1060.548298390809,771.3116617171628,169.43394827751274
94,174,565.0765191029473,1102.6933820623572,769.3347663305464,167.7561672448579
95,177,565.0765191029473,1103.8161213313804,790.0247847510684,179.93675469366616
96,179,565.0765191029473,1102.6933820623572,804.4183815778821,178.5850162744924
97,174,565.0765191029473,1102.6933820623572,792.4342444484959,179.6415638162736
98,170,565.0765191029473,1116.4688977423652,794.2216659748007,179.11601348880973
99,170,565.0765191029473,1068.1214614580072,783.6092904355879,176.9793643901752
100,179,565.0765191029473,1077.056733591552,804.967182328016,178.62820369810925
101,163,565.0765191029473,1077.056733591552,808.4305916484044,181.63724508646874
102,168,565.0765191029473,1104.827649038232,807.6511395052723,176.51971170998826
103,185,565.0765191029473,1104.827649038232,789.1412025873873,171.0395342841454
104,177,565.0765191029473,1104.827649038232,798.7380838694089,168.49622779786438
105,180,557.9660756740597,1104.827649038232,813.1616065150943,173.61715137620004
106,181,557.9660756740597,1049.3236682791362,793.3528656819793,173.63395942179355
107,159,557.9660756740597,1053.9159587117385,790.9809419609142,167.60446397090982
108,170,557.9660756740597,1027.205634938852,777.1496465006478,176.76257963225328
109,176,557.9660756740597,1058.9745893360875,796.4097709122318,175.203590586123
110,171,557.9660756740597,1040.7449336581196,793.504575055843,173.29423470168933
111,177,557.9660756740597,1067.9080628399286,800.6071341581617,172.17755665122138
112,170,557.9660756740597,1086.2359225201822,794.9417057592063,181.55334213171565
113,179,557.9660756740597,1067.9281830741636,805.2788127692766,181.71028919444018
114,174,557.9660756740597,1089.8297676042203,800.1038858094574,188.5792736471138
115,178,557.9660756740597,1089.8297676042203,779.3491137652137,184.95404083525193
116,175,557.9660756740597,1074.6373219109616,766.558328197069,176.36960866442698
117,168,557.9660756740597,1074.6373219109616,777.1861280951433,184.44748232238493
118,159,557.9660756740597,1087.1526728366823,786.7517557164501,186.76837380965102
119,174,557.9660756740597,1092.7966007968942,792.676778771914,188.8565028010258
120,176,557.9660756740597,1097.342945175736,769.9947040951604,185.5481317785195
121,167,557.9660756740597,1068.7815747269394,792.5732910750521,180.60700997954416
122,168,557.9660756740597,1113.0157429911508,809.8179802944171,187.4319053859324
123,177,557.9660756740597,1103.4927390424868,776.1423014219805,178.80513238619602
124,161,557.9660756740597,1079.6211214564046,790.0807174368701,174.70899720876923
125,161,557.9660756740597,1064.1432496479792,786.7165201146387,177.2762980002581
126,191,557.9660756740597,1082.9200430462424,796.9989283020549,168.86074087411552
127,174,557.9660756740597,1082.9200430462424,778.0913378391998,179.4596511000886
128,184,557.9660756740597,1082.9200430462424,784.6668236950901,174.0934340485857
129,173,557.9660756740597,1082.9200430462424,794.2691507459119,181.64203049973204
130,184,557.9660756740597,1096.5692444630017,794.995720104537,180.56636417204874
131,181,557.9660756740597,1100.400213774039,783.0081749093033,183.85598791479185
132,172,557.9660756740597,1091.2090852781935,795.741436558653,182.28252535514488
133,182,557.9660756740597,1091.2090852781935,799.1531127680496,186.69490465860628
134,186,557.9660756740597,1091.2090852781935,817.4911219020296,181.39167385022574
135,171,557.9660756740597,1093.5064539972484,834.3624574714694,179.8053431993469
136,180,557.9660756740597,1093.5064539972484,807.0837309764372,182.43700954055646
137,181,557.9660756740597,1116.963815095774,810.3489122937701,185.0578326829013
138,177,557.9660756740597,1116.963815095774,804.4693659165376,179.09795103852935
139,176,557.9660756740597,1116.963815095774,797.667371335668,183.95226670422434
140,173,557.9660756740597,1116.963815095774,799.5367340996479,184.3680173663928
